XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
XAR
XBI
XES
XHB
XME
XOP
XPH
XRT
XTN
KBE
KIE
KRE
ITA
IHI
IHF
IYT
ITB
VNQ
SMH
GDX
GDXJ
SIL
COPX
LIT
URA
MOO
FAN
TAN
ICLN
HACK
CIBR
SKYY
FINX
IPAY
BOTZ
ROBO
ESPO
SOCL
FDN
IBUY
ONLN
JETS
PHO
FIW
AMLP
PAVE
IGV
PPA
BDRY
CARZ
DRIV
UFO
NLR
RTH
VGT
SOXX
